HORA INÍCIO MOT. 1,HORA FIM MOT. 1
,
03:58,
,
4:04,18:38
3:53,13:50
03:57,13:09
4:20,14:32
03:57,13:09
3:54,11:12
3:28,15:44
5:04,20:20
6:13,18:37
5:04,20:20
6:31,18:43
,
03:57,13:09
5:34,15:52
,
6:53,18:03
5:04,20:20
6:20,13:30
6:18,16:28
ATESTADO,19:21
6:54,13:50
6:45,10:30
6:11,20:33
6:11,18:57
6:18,16:28
7:47,18:01
5:04,20:20
5:04,20:20
7:08,21:15
7:33,15:57
03:57,13:09
3:53,13:50
9:37,16:02
SOBREAVISO,
7:02,19:10
8:32,18:27
03:57,13:09
,
8:34,17:00
6:31,18:43
8:32,21:03
,
03:57,13:09
,
,
4:04,18:38
,
6:20,13:30
SOBREAVISO,
5:34,15:52
11:23,18:07
12:15,20:24
12:31,18:35
SOBREAVISO,
3:53,13:50
13:26,20:35
13:26,20:35
6:11,18:57
10:00,23:02
6:11,20:33
14:00,00:00
7:08,21:15
13:59,21:31
ATESTADO,
14:04,18:40
12:50,22:17
10:10,21:10
12:15,20:24
5:04,20:20
12:19,22:17
16:07,19:53
15:55,18:52
4:04,18:38
6:53,18:03
12:54,22:17
5:04,20:20
14:00,00:00
5:04,20:20
6:13,18:37
,
,
14:00,00:00
HORA INÍCIO MOT. 1,HORA FIM MOT. 1
4:00,12:30
,
04:15,14:00
3:55,07:37
2:05,10:01
5:27,08:58
5:52,13:31
5:25,19:40
6:11,18:38
5:25,19:40
06:23,
5:39,16:14
5:25,19:40
7:34,23:05
5:25,19:40
04:15,14:00
5:52,13:31
4:00,12:30
4:00,12:30
6:20,19:56
6:59,16:59
5:25,19:40
9:46,10:34
8:00,15:10
8:15,18:20
,
04:15,14:00
4:00,12:30
04:15,14:00
9:35,18:14
SOBREAVISO,
8:45,16:31
13:44,19:10
9:39,12:59
SOBREAVISO,13:21
09:21,
10:30,17:50
11:19,20:39
6:59,16:59
5:39,16:14
12:02,20:59
,
13:10,
,
11:57,19:15
9:35,18:14
8:00,15:10
,
12:00,19:45
13:21,19:32
,
12:10,20:28
11:30,20:24
12:08,20:40
11:48,19:55
6:20,19:56
13:29,19:43
8:00,15:10
12:06,
14:34,23:38
14:57,00:10
9:39,12:59
11:55,20:10
5:25,19:40
,
11:33,22:53
16:04,20:33
7:34,23:05
15:33,
13:21,19:32
16:44,21:30
5:25,19:40
5:25,19:40
6:11,18:38
14:34,23:38
16:44,21:30
16:44,21:30
17:00,21:17
17:00,21:17
17:00,21:17
18:36,00:15
15:00,01:00
18:07,23:58
HORA INÍCIO MOT. 1,HORA FIM MOT. 1
,
,
3:29,14:01
4:04,13:40
4:01,14:55
04:24,13:00
05:30,
05:05,18:52
6:12,18:50
04:24,13:00
7:05,12:00
6:28,15:16
5:58,19:31
6:24,21:40
6:40,18:40
6:29,13:01
6:35,18:14
6:28,13:59
07:06,
8:03,11:24
4:01,14:55
4:01,14:55
6:40,14:44
8:49,16:12
3:29,14:01
7:23,17:24
04:24,13:00
4:04,13:40
8:59,19:17
9:00,17:30
6:33,14:56
,
8:49,16:12
9:23,20:20
,
10:35,19:26
10:24,
9:39,18:34
10:49,16:50
,
6:28,15:16
5:58,19:31
6:35,18:14
12:07,17:51
11:18,17:54
12:15,23:01
12:15,20:46
13:56,18:12
12:49,17:34
8:30,19:48
14:10,23:50
12:30,20:18
14:00,00:00
,
9:23,20:20
,
6:24,21:40
9:39,18:34
16:26,22:15
16:26,22:15
16:26,22:15
12:03,23:12
16:16,21:51
6:12,18:50
16:26,22:15
16:26,22:15
16:26,22:15
12:49,17:34
HORA INÍCIO MOT. 1,HORA FIM MOT. 1
,
4:20,07:30
7:39,18:06
,
04:19,10:58
5:35,15:30
5:10,12:25
05:44,12:15
6:23,15:16
7:01,17:46
7:45,14:10
7:30,12:00
8:32,11:47
8:26,11:51
04:19,10:58
6:23,15:16
6:23,15:16
9:22,14:30
8:32,11:47
8:26,11:51
8:32,11:47
11:30,15:51
9:22,14:30
7:39,18:06
8:57,16:53
12:44,19:52
10:35,21:28
12:00,19:13
11:34,19:09
7:39,18:06
11:30,15:51
,
7:01,17:46
12:00,22:12
17:09,21:21
7:30,12:00
HORA INÍCIO MOT. 1,HORA FIM MOT. 1
3:20,15:38
,
5:19,10:19
9:12,17:26
,
7:24,15:35
7:00,08:47
7:31,17:31
3:20,15:38
5:19,10:19
SOBREAVISO,
5:19,10:19
9:12,17:26
10:12,17:50
10:08,14:12
11:09,
,
11:38,13:55
12:40,20:34
12:43,17:55
11:09,17:00
,
12:28,16:17
10:12,17:50
14:14,17:55
15:15,18:30
FOLGA ,
,
14:15,21:51
,
,
14:14,17:55
19:10,21:49
19:20,
,
HORA INÍCIO MOT. 1,HORA FIM MOT. 1
2:28,10:12
3:16,08:30
3:16,08:30
2:55,05:14
4:00,18:14
4:15,09:10
4:18,14:18
4:22,14:00
04:36,13:00
5:04,15:00
5:04,15:00
,
,
,
5:25,09:35
5:53,11:29
5:53,11:29
,
4:33,14:52
06:00,
2:28,10:12
6:10,18:56
6:05,16:40
5:04,15:00
5:28,15:15
6:57,21:04
,
07:18,
9:17,17:43
6:13,22:07
6:40,13:36
5:53,11:29
,
7:50,13:40
6:50,15:17
,
6:13,22:07
4:15,09:10
7:37,15:33
5:44,15:16
4:33,14:52
5:28,15:15
12:00,21:54
7:37,15:33
12:27,22:37
8:00,17:27
,
7:37,15:33
6:40,13:36
12:00,21:54
13:33,19:48
10:55,21:05
4:00,18:14
,
,
14:10,21:00
15:15,19:07
14:01,18:12
12:50,19:10
14:17,19:35
12:50,19:10
13:04,20:52
12:00,21:54
12:30,20:54
6:05,16:40
16:00,20:36
16:00,20:36
15:22,21:56
9:17,17:43
8:00,17:27
,
,
13:57,17:48
15:22,21:56
6:13,22:07
6:10,18:56
6:57,21:04
,
HORA INÍCIO MOT. 1,HORA FIM MOT. 1
2:04,16:13
3:31,14:41
4:05,9:30
3:46,8:50
04:21,12:00
5:02,9:45
4:40,15:58
4:55,8:12
4:36,20:16
4:55,22:22
05:51,
5:25,10:30
05:32,
5:33,19:48
,
,
6:23,18:52
,
5:33,19:48
6:53,16:48
5:34,15:36
,
5:33,19:48
,
5:33,19:48
6:51,15:21
6:34,19:20
6:00,19:25
3:31,14:41
8:11,12:56
5:33,19:48
10:40,19:30
8:15,17:17
,
,
6:29,22:17
8:44,12:53
09:39,
,
,
,
,
ASO,
10:20,19:41
4:40,15:58
10:46,21:00
11:21,19:13
11:12,20:26
3:31,14:41
11:08,14:24
10:36,19:54
10:20,19:41
5:34,15:36
11:54,21:02
2:04,16:13
5:25,10:30
12:27,16:00
,
10:40,19:30
,
3:31,14:41
6:00,19:25
10:46,21:00
6:34,19:20
4:55,22:22
11:21,19:13
15:22,21:10
,
13:50,19:15
14:41,22:21
4:36,20:16
11:12,20:26
11:08,19:35
12:34,14:43
13:09,21:43
11:08,19:35
12:30,15:16
SOBREAVISO,
11:54,21:02
5:33,19:48
6:53,16:48
,
13:55,19:48
,
5:33,19:48
5:33,19:48
6:23,18:52
17:15,23:07
12:27,16:00
15:00,01:03
15:00,01:03
HORA INÍCIO MOT. 1,HORA FIM MOT. 1
4:00,10:00
4:10,15:33
04:27,14:00
4:24,06:02
4:31,14:58
06:00,
5:14,20:05
,
,
6:29,18:28
5:14,20:05
6:55,16:41
5:23,17:09
04:27,14:00
5:39,19:00
4:00,10:00
5:14,20:05
6:17,15:18
6:38,18:30
6:02,19:06
6:13,19:47
6:28,19:52
5:14,20:05
7:24,16:44
06:47,
5:14,20:05
7:52,19:23
,
,
7:35,18:03
6:45,11:00
,
8:14,10:05
,
,
,
,
04:27,14:00
9:43,18:42
9:30,16:45
9:06,18:18
09:04,
9:05,18:26
04:27,14:00
10:45,19:00
,
11:19,
10:30,19:37
5:39,19:00
7:52,19:23
11:17,20:27
,
6:38,18:30
6:28,19:52
11:58,20:00
6:02,19:06
7:35,18:03
10:45,19:00
10:45,19:00
15:04,21:11
7:24,16:44
9:05,18:26
10:30,19:37
13:46,18:45
6:13,19:47
5:14,20:05
6:55,16:41
15:00,01:03
,
,
5:14,20:05
10:30,19:37
5:14,20:05
,
16:46,01:30
6:29,18:28
15:04,21:11
17:52,22:07
14:30,01:09
HORA INÍCIO MOT. 1,HORA FIM MOT. 1
04:06,07:20
4:24,08:16
04:21,14:00
04:29,21:46
,
06:00,
05:26,19:27
,
,
06:20,19:09
05:26,19:27
05:33,15:26
05:26,19:27
06:49,
07:12,16:43
06:52,12:32
05:26,19:27
06:45,15:54
07:53,
06:30,19:23
06:30,19:51
,
05:26,19:27
,
,
07:14,21:16
05:58,19:33
06:49,
07:55,21:03
06:12,14:32
08:00,14:22
04:21,14:00
10:33,20:48
9:48,22:39
,
,
,
,
04:21,14:00
10:07,12:02
10:07,12:02
10:05,17:00
08:53,19:05
06:52,12:32
10:09,19:03
10:53,20:36
08:02,19:09
05:33,15:26
10:16,20:21
06:12,14:32
11:10,16:50
,
06:30,19:51
