HORA INICIO MOT. 1,HORA FIM MOT. 1
3:02,05:04
3:32,12:34
4:46,09:56
4:46,09:56
5:30,10:00
SOBREAVISO,
6:31,15:22
6:18,10:45
6:35,09:32
6:31,15:22
6:00,09:48
6:00,09:48
6:18,10:45
07:58,
,
4:46,09:56
4:46,09:56
8:26,11:05
3:32,12:34
6:18,10:45
SOBREAVISO,
SOBREAVISO,
6:31,15:22
11:50,17:45
9:30,12:20
10:45,18:00
12:49,21:09
11:24,15:08
11:05,18:47
6:18,10:45
11:33,19:17
10:45,18:00
13:30,18:38
14:01,00:00
11:54,16:40
8:00,21:53
10:57,19:41
11:05,18:47
11:33,19:17
,
12:49,21:09
14:46,18:47
14:46,18:47
14:46,18:47
13:23,21:35
13:23,21:10
15:50,20:24
,21:37
,
16:13,21:18
16:13,21:18
13:22,21:24
8:00,21:35
,
10:45,18:00
6:12,18:54
14:01,00:00
16:13,21:18
18:06,01:11
HORA INÍCIO MOT. 1,HORA FIM MOT. 1
4:12,13:17
4:20,12:40
4:12,13:17
5:30,15:30
5:19,19:32
6:16,18:54
5:19,19:32
5:19,19:32
4:20,12:40
5:19,19:32
6:38,19:22
7:34,21:10
4:12,13:17
5:19,19:32
6:46,18:40
7:09,19:01
7:01,18:55
14:36,16:28
11:01,17:21
11:01,17:21
11:29,16:05
4:12,13:17
SOBREAVISO,
5:30,15:30
9:59,13:18
9:01,19:30
4:12,13:17
,
5:30,15:30
5:30,15:30
5:40,18:19
12:35,16:58
12:00,18:05
12:02,19:08
11:14,15:19
SOBREAVISO,
11:29,16:05
11:42,16:32
12:58,20:10
6:38,19:22
11:59,20:47
7:34,21:10
7:09,19:01
5:30,15:30
13:11,19:34
12:00,18:05
7:01,18:55
14:36,16:28
9:01,19:30
14:33,21:49
11:55,19:25
12:45,19:21
6:46,18:40
19:09,21:47
11:42,16:32
11:27,15:50
11:43,16:34
5:19,19:32
15:20,21:07
5:19,19:32
5:19,19:32
6:16,18:54
15:20,21:07
15:20,21:07
19:09,21:47
13:30,01:35
13:50,21:25
HORA INÍCIO MOT. 1,HORA FIM MOT. 1
5:46,13:10
04:15,
,
4:10,13:15
4:10,13:15
4:24,05:39
4:10,13:15
3:29,13:57
04:11,
5:35,10:09
5:46,13:10
5:27,18:06
5:09,20:13
6:13,18:34
5:09,20:13
6:21,19:04
12:49,20:00
4:10,13:15
SOBREAVISO,
6:40,16:00
6:58,16:46
6:40,17:00
5:09,20:13
6:58,16:46
6:40,16:00
6:40,17:00
8:30,17:05
5:09,20:13
,
5:09,20:13
8:15,14:06
8:22,13:06
8:17,13:55
4:15,12:53
7:08,15:41
8:30,17:52
7:03,19:16
SOBREAVISO,
9:40,13:00
6:40,16:00
6:58,16:46
6:40,17:00
8:30,17:05
4:10,13:15
9:21,15:45
4:10,13:15
5:46,13:10
5:46,13:10
9:36,20:28
8:59,17:14
5:27,18:06
6:21,19:04
4:10,13:15
4:10,13:15
3:29,13:57
4:15,12:53
5:27,18:06
SOBREAVISO,
12:32,19:50
